DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
PV2015_1008_14U0371,143961,UT,18:01:29 09-Sep-2015,Argos,1,53.7042,-166.5618,678,1893,243,88,,,,,,
PV2015_1008_14U0371,143961,UT,18:03:01 09-Sep-2015,Argos,1,53.7034,-166.5648,645,1680,247,104,,,,,,
PV2015_1008_14U0371,143961,UT,18:31:22 09-Sep-2015,Argos,B,53.7025,-166.5614,2484,4372,1410,89,,,,,,
PV2015_1008_14U0371,143961,UT,18:57:35 09-Sep-2015,Argos,B,53.7074,-166.5619,6815,12889,3603,89,,,,,,
PV2015_1008_14U0371,143961,UT,04:56:07 10-Sep-2015,Argos,B,53.7023,-166.5499,1789,46680,68,104,,,,,,
PV2015_1008_14U0371,143961,UT,18:00:58 10-Sep-2015,Argos,B,53.7247,-166.5638,3377,11180,1019,84,,,,,,
PV2015_1008_14U0371,143961,UT,20:12:07 10-Sep-2015,Argos,B,53.7182,-166.5554,3437,12998,909,81,,,,,,
PV2015_1008_14U0371,143961,UT,23:52:05 10-Sep-2015,Argos,B,53.7162,-166.4394,3027,6463,1417,69,,,,,,
PV2015_1008_14U0371,143961,UT,02:01:38 11-Sep-2015,Argos,2,53.7046,-166.5739,298,309,287,178,,,,,,
PV2015_1008_14U0371,143961,UT,20:53:26 11-Sep-2015,Argos,B,53.6795,-166.7605,5168,11879,2248,110,,,,,,
PV2015_1008_14U0371,143961,UT,21:37:56 11-Sep-2015,Argos,B,53.7214,-166.6594,3630,292117,45,102,,,,,,
PV2015_1008_14U0371,143961,UT,23:33:39 11-Sep-2015,Argos,B,53.7541,-166.6309,4924,22362,1084,100,,,,,,
PV2015_1008_14U0371,143961,UT,03:28:05 12-Sep-2015,Argos,A,53.7057,-166.5974,3612,404401,32,79,,,,,,
PV2015_1008_14U0371,143961,UT,20:26:58 12-Sep-2015,Argos,B,53.8760,-166.2609,6495,19560,2156,74,,,,,,
PV2015_1008_14U0371,143961,UT,21:11:20 12-Sep-2015,Argos,B,53.8909,-166.1277,21085,162889,2729,64,,,,,,
PV2015_1008_14U0371,143961,UT,05:05:22 13-Sep-2015,Argos,B,53.6524,-166.5910,4604,11966,1771,98,,,,,,
PV2015_1008_14U0371,143961,UT,16:33:04 16-Sep-2015,Argos,A,53.7288,-166.4868,159,1002,25,82,,,,,,
PV2015_1008_14U0371,143961,UT,18:11:00 16-Sep-2015,Argos,B,53.6723,-166.5151,2461,12812,472,109,,,,,,
PV2015_1008_14U0371,143961,UT,21:33:21 16-Sep-2015,Argos,B,53.6943,-166.4211,4216,18371,967,96,,,,,,
PV2015_1008_14U0371,143961,UT,21:16:16 17-Sep-2015,Argos,B,53.8224,-165.6985,23257,54912,9850,92,,,,,,
PV2015_1008_14U0371,143961,UT,22:03:25 17-Sep-2015,Argos,B,53.7034,-166.6370,16462,33820,8013,85,,,,,,
PV2015_1008_14U0371,143961,UT,20:00:22 23-Sep-2015,Argos,A,53.7196,-166.5711,970,1335,704,97,,,,,,
PV2015_1008_14U0371,143961,UT,20:43:34 23-Sep-2015,Argos,1,53.7217,-166.5714,774,2337,256,103,,,,,,
PV2015_1008_14U0371,143961,UT,04:13:09 26-Sep-2015,Argos,B,53.6956,-166.6123,17625,,,,,,,,,
PV2015_1008_14U0371,143961,UT,04:55:21 26-Sep-2015,Argos,B,53.7013,-166.6325,7586,22734,2531,80,,,,,,
PV2015_1008_14U0371,143961,UT,03:28:02 27-Sep-2015,Argos,B,53.7037,-166.6150,6027,24419,1487,71,,,,,,
PV2015_1008_14U0371,143961,UT,17:51:44 27-Sep-2015,Argos,B,53.6692,-166.6938,4514,72901,279,123,,,,,,
PV2015_1008_14U0371,143961,UT,19:20:46 27-Sep-2015,Argos,B,53.6529,-166.7514,2801,6472,1212,115,,,,,,
PV2015_1008_14U0371,143961,UT,04:14:39 29-Sep-2015,Argos,B,53.6841,-166.6616,3986,529512,30,80,,,,,,
PV2015_1008_14U0371,143961,UT,03:28:01 30-Sep-2015,Argos,B,53.6717,-167.0023,928786,,,,,,,,,
PV2015_1008_14U0371,143961,UT,21:00:41 30-Sep-2015,Argos,1,53.7074,-166.5388,666,1840,241,94,,,,,,
PV2015_1008_14U0371,143961,UT,21:41:38 30-Sep-2015,Argos,1,53.7133,-166.5701,835,5039,138,97,,,,,,
PV2015_1008_14U0371,143961,UT,23:24:27 30-Sep-2015,Argos,B,53.7085,-166.6072,5618,11343,2782,84,,,,,,
