DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
EB2005_5952_04L0041,53607,Splash,Strong,02-Aug-2005,17:06:00,02-Aug-2005,17:03:11
EB2005_5952_04L0041,53607,Splash,Strong,23-Oct-2005,23:28:00,23-Oct-2005,23:24:43
EB2005_5952_04L0041,53607,Splash,Strong,24-Oct-2005,00:01:17,24-Oct-2005,23:58:00
EB2005_5952_04L0041,53607,Splash,Strong,24-Oct-2005,02:26:57,24-Oct-2005,02:23:40
EB2005_5952_04L0041,53607,Splash,Strong,26-Dec-2005,22:42:17,26-Dec-2005,22:39:45
EB2005_5952_04L0041,53607,Splash,Strong,27-Dec-2005,00:00:21,27-Dec-2005,23:57:51
EB2005_5952_04L0041,53607,Splash,Strong,27-Dec-2005,02:26:28,27-Dec-2005,02:23:56
EB2005_5952_04L0041,53607,Splash,Strong,07-Jan-2006,14:37:34,07-Jan-2006,14:35:11
EB2005_5952_04L0041,53607,Splash,Strong,08-Jan-2006,00:00:00,08-Jan-2006,23:57:38
EB2005_5952_04L0041,53607,Splash,Strong,08-Jan-2006,01:12:11,08-Jan-2006,01:09:48
EB2005_5952_04L0041,53607,Splash,Strong,07-Feb-2006,07:37:13,07-Feb-2006,07:35:15
