DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
PV2014_2016_10A0586,66977,0.500000,Mk10,,23:52:08 02-Sep-2014,23:52:23 02-Sep-2014,15,A,51.9175,-176.5639,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,23:55:02 02-Sep-2014,23:55:17 02-Sep-2014,15,A,51.9175,-176.5639,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,,23:58:37 02-Sep-2014,,A,51.9175,-176.5639,,0,0,,810,3.568,,,11.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,00:21:14 03-Sep-2014,00:21:29 03-Sep-2014,15,,,,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,00:25:23 03-Sep-2014,00:25:38 03-Sep-2014,15,,,,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,00:26:06 03-Sep-2014,00:26:21 03-Sep-2014,15,,,,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,,00:28:29 03-Sep-2014,,,,,,0,0,,826,3.568,,,11.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,00:28:57 03-Sep-2014,00:29:12 03-Sep-2014,15,,,,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,00:30:04 03-Sep-2014,00:30:19 03-Sep-2014,15,,,,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,00:30:47 03-Sep-2014,00:31:02 03-Sep-2014,15,,,,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,,00:33:05 03-Sep-2014,,,,,,0,0,,830,3.504,,,10.90,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,00:34:42 03-Sep-2014,00:34:57 03-Sep-2014,15,,,,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,00:49:44 03-Sep-2014,00:49:59 03-Sep-2014,15,B,51.9135,-176.5729,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,01:03:08 03-Sep-2014,01:03:23 03-Sep-2014,15,B,51.9135,-176.5729,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,02:02:37 03-Sep-2014,02:02:52 03-Sep-2014,15,3,51.9144,-176.5660,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,02:05:51 03-Sep-2014,02:06:06 03-Sep-2014,15,3,51.9144,-176.5660,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,,02:06:49 03-Sep-2014,,3,51.9144,-176.5660,,0,0,,862,3.504,,,11.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,02:10:22 03-Sep-2014,02:10:37 03-Sep-2014,15,3,51.9144,-176.5660,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,02:20:12 03-Sep-2014,02:20:27 03-Sep-2014,15,B,51.9143,-176.5681,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,02:23:37 03-Sep-2014,02:23:52 03-Sep-2014,15,B,51.9143,-176.5681,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,02:39:31 03-Sep-2014,02:39:46 03-Sep-2014,15,A,51.9133,-176.5665,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,02:43:15 03-Sep-2014,02:43:30 03-Sep-2014,15,A,51.9133,-176.5665,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,02:47:01 03-Sep-2014,02:47:16 03-Sep-2014,15,A,51.9133,-176.5665,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,03:55:58 03-Sep-2014,03:56:13 03-Sep-2014,15,A,51.9140,-176.5684,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2014_2016_10A0586,66977,0.500000,Mk10,,04:00:06 03-Sep-2014,04:00:21 03-Sep-2014,15,A,51.9140,-176.5684,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
